epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,155.318,0.91825,2.67357,2.5722,0.01317,0.4394,0.89326,0.43333,0.53317,0.3295,0.87743,0.43333,0.52603,0.2527,1.85054,3.43664,1.71969,0.01463,0,2.84938e-05,2.84938e-05,2.84938e-05
64,157.787,0.8953,1.70735,1.13505,0.00808,0.32616,0.89326,0.43333,0.53317,0.3295,0.87743,0.43333,0.52603,0.2527,1.85054,3.43664,1.71969,0.01463,0,2.82112e-05,2.82112e-05,2.82112e-05
65,160.167,0.80033,1.56446,1.39309,0.00767,0.18932,0.89326,0.43333,0.53317,0.3295,0.87743,0.43333,0.52603,0.2527,1.85054,3.43664,1.71969,0.01463,0,2.7905e-05,2.7905e-05,2.7905e-05
66,162.762,0.58379,1.27544,0.79339,0.00597,0.20016,0.90092,0.43126,0.52947,0.3282,0.87165,0.43333,0.52471,0.25193,1.87835,3.47601,1.74732,0.01493,0,2.75753e-05,2.75753e-05,2.75753e-05
67,165.191,0.73302,1.52266,0.81272,0.00476,0.29895,0.90092,0.43126,0.52947,0.3282,0.87165,0.43333,0.52471,0.25193,1.87835,3.47601,1.74732,0.01493,0,2.7222e-05,2.7222e-05,2.7222e-05
68,167.554,1.08962,2.19498,1.26475,0.01181,0.41639,0.90092,0.43126,0.52947,0.3282,0.87165,0.43333,0.52471,0.25193,1.87835,3.47601,1.74732,0.01493,0,2.68451e-05,2.68451e-05,2.68451e-05
69,170.051,0.82006,1.7984,1.28656,0.00851,0.24108,0.9024,0.41667,0.53228,0.32888,0.87612,0.43333,0.52514,0.25244,1.86603,3.47112,1.73295,0.015,0,2.64447e-05,2.64447e-05,2.64447e-05
70,172.508,1.11044,1.39931,1.61525,0.01269,0.28072,0.9024,0.41667,0.53228,0.32888,0.87612,0.43333,0.52514,0.25244,1.86603,3.47112,1.73295,0.015,0,2.60207e-05,2.60207e-05,2.60207e-05
71,174.906,0.68616,1.44397,0.87436,0.00522,0.18261,0.9024,0.41667,0.53228,0.32888,0.87612,0.43333,0.52514,0.25244,1.86603,3.47112,1.73295,0.015,0,2.55731e-05,2.55731e-05,2.55731e-05
72,177.36,0.89078,1.48865,0.964,0.0082,0.21366,0.89598,0.42152,0.54365,0.33022,0.86517,0.43333,0.52466,0.2515,1.85356,3.58361,1.84065,0.01482,0,2.5102e-05,2.5102e-05,2.5102e-05
73,179.735,0.75351,1.85773,1.01947,0.00891,0.39025,0.89598,0.42152,0.54365,0.33022,0.86517,0.43333,0.52466,0.2515,1.85356,3.58361,1.84065,0.01482,0,2.46073e-05,2.46073e-05,2.46073e-05
74,182.133,0.77547,1.74172,0.93513,0.00705,0.26787,0.89598,0.42152,0.54365,0.33022,0.86517,0.43333,0.52466,0.2515,1.85356,3.58361,1.84065,0.01482,0,2.40891e-05,2.40891e-05,2.40891e-05
75,184.587,0.87887,1.61505,0.97895,0.0125,0.39916,0.88598,0.42755,0.53712,0.32758,0.87819,0.43333,0.51972,0.2492,1.80996,3.45814,1.94179,0.01509,0,2.35472e-05,2.35472e-05,2.35472e-05
76,187.146,0.66732,1.75694,0.79719,0.00562,0.26514,0.88598,0.42755,0.53712,0.32758,0.87819,0.43333,0.51972,0.2492,1.80996,3.45814,1.94179,0.01509,0,2.29819e-05,2.29819e-05,2.29819e-05
77,189.848,0.79346,1.75584,1.00101,0.00598,0.27696,0.88598,0.42755,0.53712,0.32758,0.87819,0.43333,0.51972,0.2492,1.80996,3.45814,1.94179,0.01509,0,2.23929e-05,2.23929e-05,2.23929e-05
78,192.346,1.04865,1.87932,1.3747,0.01078,0.49252,0.91859,0.41667,0.52578,0.30511,0.87001,0.43333,0.51977,0.24989,1.81993,3.47221,1.95646,0.01521,0,2.17805e-05,2.17805e-05,2.17805e-05
